linha_excel,erro,column,value
17,Nenhuma espécie correspondeu,locality,Região de ocorrência
18,Nenhuma espécie correspondeu,successionalStage,Classe sucessional
19,Nenhuma espécie correspondeu,dispersalSyndrome,Síndrome de dispersão
20,Nenhuma espécie correspondeu,threatenedStatusIUCN,Categoria de ameaça/Grau de risco de extinção
21,Nenhuma espécie correspondeu,threatenedStatusIUCN,Categoria de ameaça/Grau de risco de extinção
27,Nenhuma espécie correspondeu,quantitySeed (kg),Sementes 
28,Nenhuma espécie correspondeu,quantitySeed (kg),Sementes 
35,Nenhuma espécie correspondeu,lifeForm,Forrageira
41,Nenhuma espécie correspondeu,typesOfUses,Restauração de paisagens
